Round,Category,Value,Clue,Answer,Explanation
1,Movies,400,"The actor who played Tony Stark in the Marvel movies.","Who is Robert Downey Jr.?","Downey Jr. played Iron Man in the MCU."
1,Movies,500,"The movie with the quote May the Force be with you.","What is Star Wars?","Star Wars was created by George Lucas."
1,Sports,100,"The number of players on a basketball team on the court.","What is 5?","Each team has 5 players on the court."
1,Sports,200,"The sport played at Wimbledon.","What is tennis?","Wimbledon is a Grand Slam tennis tournament."
1,Sports,300,"The country that won the 2018 FIFA World Cup.","What is France?","France defeated Croatia in the final."
1,Sports,400,"The number of bases in baseball.","What is 4?","First second third and home plate."
1,Sports,500,"The Olympic event where athletes run 26.2 miles.","What is the marathon?","The marathon distance is 26.2 miles."
2,Advanced Science,100,"The number of chromosomes in a human cell.","What is 46?","Humans have 23 pairs of chromosomes."
2,Advanced Science,200,"The element with atomic number 6.","What is carbon?","Carbon is the basis of organic chemistry."
2,Advanced Science,300,"The process of cell division.","What is mitosis?","Mitosis produces two identical daughter cells."
2,Advanced Science,400,"The theory that describes the expansion of the universe.","What is the Big Bang theory?","The universe began expanding about 13.8 billion years ago."
2,Advanced Science,500,"The particle that mediates the electromagnetic force.","What is the photon?","Photons are massless particles of light."
2,World History,100,"The year the Magna Carta was signed.","What is 1215?","King John signed it in England."
2,World History,200,"The empire that built the Colosseum.","What is the Roman Empire?","The Colosseum was completed in 80 AD."
2,World History,300,"The explorer who reached India by sea in 1498.","Who is Vasco da Gama?","Da Gama sailed around the Cape of Good Hope."
2,World History,400,"The treaty that ended World War I.","What is the Treaty of Versailles?","Signed in 1919 in France."
2,World History,500,"The dynasty that ruled China for over 400 years.","What is the Ming Dynasty?","The Ming ruled from 1368 to 1644."
2,World Geography,100,"The capital of Australia.","What is Canberra?","Canberra is inland; Sydney is the largest city."
2,World Geography,200,"The country with the most borders.","What is China?","China shares borders with 14 countries."
2,World Geography,300,"The river that flows through Paris.","What is the Seine?","The Seine flows through northern France."
2,World Geography,400,"The strait that separates Africa from Europe.","What is the Strait of Gibraltar?","It connects the Atlantic to the Mediterranean."
2,World Geography,500,"The highest mountain in Africa.","What is Mount Kilimanjaro?","Kilimanjaro is in Tanzania."
2,Classic Literature,100,"The island where Robinson Crusoe was stranded.","What is a Caribbean island?","Often identified as Tobago or similar."
2,Classic Literature,200,"The author of Pride and Prejudice.","Who is Jane Austen?","Austen published the novel in 1813."
2,Classic Literature,300,"The narrator of The Great Gatsby.","Who is Nick Carraway?","Nick is Gatsby's neighbor and friend."
2,Classic Literature,400,"The novel that begins with It was the best of times.","What is A Tale of Two Cities?","Written by Charles Dickens."
2,Classic Literature,500,"The author of Crime and Punishment.","Who is Fyodor Dostoevsky?","Dostoevsky was a Russian novelist."
2,Documentaries,100,"The year the first feature-length documentary was released.","What is 1922?","Nanook of the North is often cited."
2,Documentaries,200,"The documentary about March of the Penguins.","What is March of the Penguins?","French production La Marche de l'empereur."
2,Documentaries,300,"The filmmaker behind Planet Earth.","Who is David Attenborough?","Attenborough narrated the BBC series."
2,Documentaries,400,"The documentary about climate change by Al Gore.","What is An Inconvenient Truth?","Released in 2006."
2,Documentaries,500,"The documentary that exposed conditions in meatpacking.","What is The Jungle?","Upton Sinclair's 1906 novel inspired reforms."
2,Olympic Sports,100,"The number of rings on the Olympic flag.","What is 5?","The rings represent the five continents."
2,Olympic Sports,200,"The sport in which Usain Bolt competed.","What is track and field or sprinting?","Bolt specialized in 100m and 200m."
2,Olympic Sports,300,"The country that hosted the 2016 Summer Olympics.","What is Brazil?","Rio de Janeiro hosted the games."
2,Olympic Sports,400,"The swimming stroke that mimics a frog.","What is the breaststroke?","The breaststroke is one of four competitive strokes."
2,Olympic Sports,500,"The event combining running swimming and cycling.","What is the triathlon?","The triathlon became Olympic in 2000."
