Type,Round,Category,CategoryVI,Value,Clue,Answer,Explanation,ClueVI,AnswerVI,ExplanationVI
board,1,Sports,Thể thao,300,The country that won the 2018 FIFA World Cup.,What is France?,France defeated Croatia in the final.,Quốc gia vô địch World Cup 2018.,Pháp là gì?,Thắng Croatia ở chung kết.
board,1,Sports,Thể thao,400,The number of bases in baseball.,What is 4?,First second third and home plate.,Số gôn trong bóng chày.,4 là gì?,"Gôn 1, 2, 3 và home."
board,1,Sports,Thể thao,500,The Olympic event where athletes run 26.2 miles.,What is the marathon?,The marathon distance is 26.2 miles.,"Nội dung Olympic chạy 26,2 dặm.",Marathon là gì?,"Cự ly marathon là 26,2 dặm."
board,2,Advanced Science,Khoa học nâng cao,100,The number of chromosomes in a human cell.,What is 46?,Humans have 23 pairs of chromosomes.,Số nhiễm sắc thể trong tế bào người.,46 là gì?,Người có 23 cặp nhiễm sắc thể.
board,2,Advanced Science,Khoa học nâng cao,200,The element with atomic number 6.,What is carbon?,Carbon is the basis of organic chemistry.,Nguyên tố có số nguyên tử 6.,Carbon là gì?,Nền tảng hóa học hữu cơ.
board,2,Advanced Science,Khoa học nâng cao,300,The process of cell division.,What is mitosis?,Mitosis produces two identical daughter cells.,Quá trình phân chia tế bào.,Nguyên phân là gì?,Tạo hai tế bào con giống hệt.
board,2,Advanced Science,Khoa học nâng cao,400,The theory that describes the expansion of the universe.,What is the Big Bang theory?,The universe began expanding about 13.8 billion years ago.,Thuyết mô tả sự giãn nở vũ trụ.,Thuyết Big Bang là gì?,"Vũ trụ giãn nở từ khoảng 13,8 tỷ năm trước."
board,2,Advanced Science,Khoa học nâng cao,500,The particle that mediates the electromagnetic force.,What is the photon?,Photons are massless particles of light.,Hạt truyền lực điện từ.,Photon là gì?,Hạt ánh sáng không khối lượng.
board,2,World History,Lịch sử thế giới,100,The year the Magna Carta was signed.,What is 1215?,King John signed it in England.,Năm Magna Carta được ký.,1215 là gì?,Vua John ký tại Anh.
board,2,World History,Lịch sử thế giới,200,The empire that built the Colosseum.,What is the Roman Empire?,The Colosseum was completed in 80 AD.,Đế chế xây Đấu trường La Mã.,Đế quốc La Mã là gì?,Hoàn thành khoảng năm 80 sau Công nguyên.
board,2,World History,Lịch sử thế giới,300,The explorer who reached India by sea in 1498.,Who is Vasco da Gama?,Da Gama sailed around the Cape of Good Hope.,Nhà thám hiểm đến Ấn Độ bằng đường biển 1498.,Vasco da Gama là ai?,Đi vòng mũi Hảo Vọng.
board,2,World History,Lịch sử thế giới,400,The treaty that ended World War I.,What is the Treaty of Versailles?,Signed in 1919 in France.,Hiệp ước kết thúc Thế chiến I.,Hiệp ước Versailles là gì?,Ký năm 1919 tại Pháp.
board,2,World History,Lịch sử thế giới,500,The dynasty that ruled China for over 400 years.,What is the Ming Dynasty?,The Ming ruled from 1368 to 1644.,Triều đại cai trị Trung Quốc hơn 400 năm.,Nhà Minh là gì?,Trị vì từ 1368 đến 1644.
board,2,World Geography,Địa lý thế giới,100,The capital of Australia.,What is Canberra?,Canberra is inland; Sydney is the largest city.,Thủ đô Australia.,Canberra là gì?,Ở nội địa; Sydney là thành phố lớn nhất.
board,2,World Geography,Địa lý thế giới,200,The country with the most borders.,What is China?,China shares borders with 14 countries.,Quốc gia có nhiều biên giới nhất.,Trung Quốc là gì?,Giáp 14 quốc gia.
board,2,World Geography,Địa lý thế giới,300,The river that flows through Paris.,What is the Seine?,The Seine flows through northern France.,Con sông chảy qua Paris.,Sông Seine là gì?,Chảy qua miền bắc Pháp.
board,2,World Geography,Địa lý thế giới,400,The strait that separates Africa from Europe.,What is the Strait of Gibraltar?,It connects the Atlantic to the Mediterranean.,Eo biển chia châu Phi và châu Âu.,Eo biển Gibraltar là gì?,Nối Đại Tây Dương với Địa Trung Hải.
board,2,World Geography,Địa lý thế giới,500,The highest mountain in Africa.,What is Mount Kilimanjaro?,Kilimanjaro is in Tanzania.,Ngọn núi cao nhất châu Phi.,Núi Kilimanjaro là gì?,Ở Tanzania.
board,2,Classic Literature,Văn học cổ điển,100,The island where Robinson Crusoe was stranded.,What is a Caribbean island?,Often identified as Tobago or similar.,Hòn đảo Robinson Crusoe bị mắc kẹt.,Một đảo Caribe là gì?,Thường được nhận diện là Tobago.
board,2,Classic Literature,Văn học cổ điển,200,The author of Pride and Prejudice.,Who is Jane Austen?,Austen published the novel in 1813.,Tác giả Kiêu hãnh và Định kiến.,Jane Austen là ai?,Xuất bản tiểu thuyết năm 1813.
board,2,Classic Literature,Văn học cổ điển,300,The narrator of The Great Gatsby.,Who is Nick Carraway?,Nick is Gatsby's neighbor and friend.,Người kể chuyện Gatsby vĩ đại.,Nick Carraway là ai?,Hàng xóm và bạn của Gatsby.
board,2,Classic Literature,Văn học cổ điển,400,The novel that begins with It was the best of times.,What is A Tale of Two Cities?,Written by Charles Dickens.,Tiểu thuyết mở đầu Đó là thời điểm tốt nhất.,Truyện Hai thành phố là gì?,Charles Dickens là tác giả.
board,2,Classic Literature,Văn học cổ điển,500,The author of Crime and Punishment.,Who is Fyodor Dostoevsky?,Dostoevsky was a Russian novelist.,Tác giả Tội ác và Hình phạt.,Fyodor Dostoevsky là ai?,Nhà văn Nga.
board,2,Documentaries,Phim tài liệu,100,The year the first feature-length documentary was released.,What is 1922?,Nanook of the North is often cited.,Năm phim tài liệu dài đầu tiên ra mắt.,1922 là gì?,Nanook of the North thường được nhắc đến.
board,2,Documentaries,Phim tài liệu,200,The documentary about March of the Penguins.,What is March of the Penguins?,French production La Marche de l'empereur.,Phim tài liệu về cuộc hành trình của chim cánh cụt.,March of the Penguins là gì?,Bản Pháp La Marche de l'empereur.
board,2,Documentaries,Phim tài liệu,300,The filmmaker behind Planet Earth.,Who is David Attenborough?,Attenborough narrated the BBC series.,Nhà làm phim đằng sau Planet Earth.,David Attenborough là ai?,Người dẫn chuyện loạt phim BBC.
board,2,Documentaries,Phim tài liệu,400,The documentary about climate change by Al Gore.,What is An Inconvenient Truth?,Released in 2006.,Phim tài liệu biến đổi khí hậu của Al Gore.,An Inconvenient Truth là gì?,Ra mắt năm 2006.
board,2,Documentaries,Phim tài liệu,500,The documentary that exposed conditions in meatpacking.,What is The Jungle?,Upton Sinclair's 1906 novel inspired reforms.,Tác phẩm phơi bày điều kiện giết mổ thịt.,The Jungle là gì?,Tiểu thuyết 1906 của Upton Sinclair.
board,2,Olympic Sports,Thể thao Olympic,100,The number of rings on the Olympic flag.,What is 5?,The rings represent the five continents.,Số vòng trên lá cờ Olympic.,5 là gì?,Đại diện năm châu lục.
board,2,Olympic Sports,Thể thao Olympic,200,The sport in which Usain Bolt competed.,What is track and field or sprinting?,Bolt specialized in 100m and 200m.,Môn Usain Bolt thi đấu.,Điền kinh / chạy nước rút là gì?,Chuyên 100m và 200m.
board,2,Olympic Sports,Thể thao Olympic,300,The country that hosted the 2016 Summer Olympics.,What is Brazil?,Rio de Janeiro hosted the games.,Nước đăng cai Olympic mùa hè 2016.,Brazil là gì?,Rio de Janeiro là nơi tổ chức.
board,2,Olympic Sports,Thể thao Olympic,400,The swimming stroke that mimics a frog.,What is the breaststroke?,The breaststroke is one of four competitive strokes.,Kiểu bơi bắt chước con ếch.,Bơi ếch là gì?,Một trong bốn kiểu bơi thi đấu.
board,2,Olympic Sports,Thể thao Olympic,500,The event combining running swimming and cycling.,What is the triathlon?,The triathlon became Olympic in 2000.,Môn kết hợp chạy bơi và đạp xe.,Ba môn phối hợp là gì?,Trở thành môn Olympic năm 2000.
final,1,Round 1 Final,Final vòng 1,,This gas makes up about 78% of Earth's atmosphere.,What is nitrogen?,Round 1 Final Jeopardy — leave Value empty.,Khí này chiếm khoảng 78% khí quyển Trái Đất?,Nito là gì?,Nitơ là khí dồi dào nhất trong khí quyển.
final,2,Round 2 Final,Final vòng 2,,This planet is known as the Red Planet.,What is Mars?,Round 2 Final Jeopardy — enable Two Rounds in setup.,Hành tinh này được gọi là Hành tinh Đỏ?,Hỏa tinh là gì?,Hỏa tinh là hành tinh thứ tư tính từ Mặt Trời.
